a|يك(n;0.5)
secret|راز(n;0.75),رمز(n;0.5),دستگاه سري(n;0.25),سر(n;0.25),مخفي(j;0.75),محرمانه(j;0.75),پنهان(j;0.5),رمزي(j;0.25),نهان(j;0.5),پوشيدن(j;0.5),هاندن(j;0.25),مجهول(j;0.25),سرپوشيدن(j;0.25),اسرار اميز(j;0.25)
secretarial|وابستن بدبيرخانه(j;0.5),وابستن به منشيگري(j;0.5)
secretariat|دبيرخانه(n;0.75),هيئت دبير و كارمند دفتري(n;0.25)
secretaries|منشي(n;0.75)
secretary|دبير(n;0.75),منشي(n;0.75),محرم اسرار(n;0.25)
secretion|ترشح(n;0.75),تراوش(n;0.5),دفع(n;0.5),پنهان سازي(n;0.25),اختفا(n;0.25)
section|بخش(n;0.75),قسمت(n;0.75),برش(n;0.5),مقطع(n;0.5),قطعه(n;0.5),برشگاه(n;0.25),دسته(n;0.25),گروه(n;0.25),دايره(n;0.25),قسمت قسمت كردن(v;0.25),برش دادن(v;0.25)
sector|بخش(n;0.75),محله(n;0.25),قطاع(n;0.5),قطاع دايره(n;0.25),قسمتي از جبهه(n;0.25),ناحيه(n;0.25),جز(n;0.25)
sectoral|خشتن(n;0.75)
secure|امن(j;0.75),ايمن(j;0.75),مطمئن(j;0.75),محكم(j;0.5),محفوظ(j;0.5),در امان(j;0.5),بي خطر(j;0.25),استوار(j;0.25),ضامن دار كردن(v;0.25),تامين كردن(v;0.25),حفظ كردن(v;0.25),محفوظ داشتن تامين كردن(v;0.25)
securely|ايمن(n;0.75)
security|امنيت(n;0.75),تامين(n;0.5),ايمني(n;0.5),ضمانت(n;0.25),تضمين(n;0.25),امان(n;0.25),اسا خاطر(n;0.25),اطمين(n;0.25),وثيقه(n;0.25),گرو(n;0.25),ضامن(n;0.25),سلامت(n;0.25),سلامتي(n;0.25),ضمانتنامه(n;0.25)
see|ديدن(v;0.75),مشاهده كردن(v;0.25),ملاقه كردن(v;0.25),نگاه كردن(v;0.25),فهميدن(v;0.25),مقر يا حوزه اسقفي(n;0.25)
seed|دانه(n;0.75),بذر(n;0.75),تخم(n;0.5),ذريه(n;0.25),تخم اوري(n;0.25),بازيكن سابقهدار(n;0.25),سلاله(n;0.25),تخم ريختن(v;0.25),كاشتن(v;0.25)
seeing|مشاهده(n;0.75),ديدن(n;0.5),رويت(n;0.25),قوه ديدن(n;0.25),بينش(n;0.25),بينا(j;0.5)
seek|به دنبال(n;0.75)
seeker|جستجو كردن(n;0.5),جويا(n;0.5)
seem|به نظر رسيدن(n;0.75)
seems|به نظر رسيدن(n;0.75)
segregation|تبعيض ژاديدن(n;0.75),تفكيك(n;0.75),جدا(n;0.5),افتراق(n;0.5)
seldom|بندرت(d;0.75),ندرتا(d;0.5),بسيار كم(d;0.5),خيلي كم(d;0.25)
select|انتخاب كردن(n;0.75),برگزيدن(j;0.5),سره(j;0.25),ممتاز منتخب(j;0.25),خاص(j;0.25),گزيدن(v;0.25),انتخاب كردن(v;0.25),برگزيدن(v;0.25),جدا كردن(v;0.25)
selecting|گزيندن(j;0.5),گزيدن(n;0.5)
selection|انتخاب(n;0.75),گزينش(n;0.5),پسند(n;0.25),گزين(n;0.25)
selective|انتخابي(j;0.75),گزيدن(j;0.5),برگزيدن(j;0.75),گزينشي(j;0.75),بهگزين(j;0.25),گزيندن(j;0.25),انتخاب كردن(j;0.25),مبني بر انتخاب(j;0.25),دارا حسن انتخاب گلچين كردن(j;0.25)
self|خود(n;0.75),خويشتن(n;0.5),خويش(n;0.5),نفس(n;0.5),نفس خود(n;0.25),شخصيت(n;0.25),حالت(n;0.25),جنبه(n;0.25),حال(n;0.25),وضع(n;0.25)
selfish|خود خواه(j;0.5),خود پرست(j;0.5),خود پسند(j;0.5)
sell|فروختن(v;0.5),بفروش رفتن(v;0.25),فروش ومعامله(n;0.25)
selling|فروش(n;0.75)
seminar|سمينار(n;0.75)
seminary|مدرسه علم ديني(n;0.5),رستن گاه(n;0.5)
senate|مجلس سنا(n;0.75)
send|ارسال(n;0.75)
sending|ارسال(n;0.75)
sends|فرستن(n;0.75)
senior|ارشد(j;0.75),بزرگ(j;0.25),بالا(j;0.25),قديمي(j;0.25),بزرگ(j;0.25),بالا رتبه(j;0.25)
seniority|ارشديت(n;0.75)
sense|حس(n;0.75),احساس(n;0.75),مفهوم(n;0.5),معني(n;0.5),شعور(n;0.5),جهت(n;0.5),مضمون(n;0.25),حواس پنجگانه(n;0.25),هوش(n;0.25),مفاد(n;0.25),حس تشخيص(n;0.25),حس كردن(v;0.5),ديدن(v;0.25),فهميدن(v;0.25),دريافتن(v;0.25),احساس كردن(v;0.25),پي بردن(v;0.25)
sensibility|حساسيت(n;0.75),احساس و درك(n;0.5),هش(n;0.5)
sensitive|حساس(j;0.75),نفوذ پذير(j;0.25),دارا حساسيت(j;0.25)
sensitivity|حساسيت(n;0.75),ميزان حساسيت(n;0.5)
sent|فرستادن(j;0.75)
sentence|جمله(n;0.75),حكم(n;0.75),فتو(n;0.25),را(n;0.25),قضاوت(n;0.25),گفتن(n;0.25),فتوا(n;0.25),محكوم كردن(v;0.25),را دادن(v;0.25)
sentimental|احساساتي(j;0.75)
separate|جدا(j;0.75),جداگانه(j;0.75),مجزا(j;0.75),منفصل(j;0.25),عليحده(j;0.25),اختصاصي(j;0.25),جدا كردن(v;0.75),مجزا كردن(v;0.25),تفكيك كردن(v;0.25),سوا كردن(v;0.25)
sequence|توالي(n;0.75),دنباله(n;0.75),عقبه(n;0.25),ترتيب(n;0.75),رشته(n;0.5),ترادف(n;0.5),تسلسل(n;0.5),پي رفتن(n;0.25),تابعيت(n;0.25),نتيجه(n;0.25),ترتيب دادن(v;0.25),به ترتيب مرتب كردن(v;0.25)
serene|بي سر و صدا(j;0.75),صاف(j;0.5),متين(j;0.5),ارام(j;0.5),ساكت(j;0.5),روشن(j;0.25),اسمان صاف(n;0.5)
serenity|بي سر و صدا(n;0.5),ارامش(n;0.5),متانت(n;0.5),صافي(n;0.5),صفا(n;0.5),وقار(n;0.5)
sergeant|گروهب(n;0.75),مامور اجرا(n;0.5)
series|سلسله(n;0.5),رشته(n;0.5),دنباله(n;0.25),رديف(n;0.25),صف(n;0.25),رده(n;0.25)
serious|جدي(j;0.75),وخيم(j;0.5),مهم(j;0.5),سنگين(j;0.5),خطير(j;0.25),سخت(j;0.25),فربه(j;0.25),فكور(j;0.25),خطر ناك(j;0.25)
seriously|به طور جدي(n;0.75)
seriousness|جديت(n;0.75)
serosa|سروز(n;0.75)
servant|بدن(n;0.75),خادم(n;0.75),خدمتكار(n;0.5),نوكر(n;0.5),مستختن(n;0.5),فراش(n;0.25),پايكار(n;0.25),چاكري(n;0.25),پيشخدمت(n;0.25)
serve|خدمت(n;0.75)
service|سرويس(n;0.75),خدمت(n;0.75),زاوري(n;0.25),ياري(n;0.25),بنگاه(n;0.25),استخدام(n;0.25),نوكري(n;0.25),كار(n;0.25),وظيفه(n;0.25),عبادت(n;0.25),كمك(n;0.25),يك دست ظروف(n;0.25),اثاثه(n;0.25),لوازم(n;0.25),نظام وظيفه(n;0.25),درخت سنجد(n;0.25),سابقه(n;0.25),تشريفات(n;0.25),روبراه ساختن(v;0.25),تعمير كردن(v;0.25),سرويس كردن(v;0.25),ماشينيراتعمير وروغن كاري كردن(v;0.25),وابستن به خدمت(j;0.25)
serviceable|بي عيب(j;0.5),روبراه شدني(j;0.5),تعمير پذير(j;0.5),دردن خور(j;0.5),قابل استفاده(j;0.5),سودمند(j;0.5)
servicing|تعمير و گهداردن(n;0.75)
serviette|دستمال سفره(n;0.75)
session|جلسه(n;0.75),نشست(n;0.75),مجلس(n;0.5),دوره تحصيلي(n;0.25)
set|مجموعه(n;0.75),دستگاه(n;0.5),دسته(n;0.5),دست(n;0.25),يك دست(n;0.25),دوره(n;0.25),جهت(n;0.25),قرار دادن(v;0.5),غروب كردن(v;0.25),شاندن(v;0.25),قرار گرفتن(v;0.25),گذاشتن(v;0.25),نهادن(v;0.25),مرتب كردن(v;0.25),چيدن(v;0.25),كار گذاشتن(v;0.25),نصب كردن(v;0.25),جاانداختن(v;0.25),اغاز كردن(v;0.25),مستقر شدن(v;0.25),سفت شدن(v;0.25),واقع شدن(j;0.25),لجوج(j;0.25),دقيق(j;0.25),روشن(j;0.25)
setting|محيط(n;0.75),زمينه(n;0.5),موقعيت(n;0.5),اهنگ(n;0.25),شاندن(n;0.25),جا نگين(n;0.25),كار گذاري(n;0.25),وضع ظاهر(n;0.25),قرار گاه(n;0.25)
settlement|توافق(n;0.5),تصفيه(n;0.5),تسويه(n;0.5),پرداختن(n;0.5),واريز(n;0.25),ته شيندن(n;0.25),مسكن(n;0.25),كلني(n;0.25),زيست گاه(n;0.25),تعديل(n;0.25)
settler|مهاجر تازه(n;0.5),ماندگر(n;0.5)
seven|هفت(n;0.75),سبعه(n;0.25),هفت چيز(n;0.25),يك هفتن(j;0.25)
seventeenth|هفدهمين(n;0.75)
several|مختلف(j;0.5),جدا(j;0.25),چند(d;0.75),چندين(d;0.75),چندي(d;0.25),برخي از(n;0.5)
severe|شتن(j;0.75),سخت(j;0.5),سخت گير(j;0.25),شاق(j;0.25),خشك(j;0.25),عنيف(j;0.25)
sex|جنسي(j;0.75),جنسيت(n;0.75),سكس(n;0.75),رابطه جنسي(n;0.5),جنس مونث(n;0.25),تذكير و تانيث(n;0.25),احساسه جنسي(n;0.25),سكسي كردن(v;0.25)
shadow|سايه(n;0.75),ظل(n;0.5),سايه افكندن بر(v;0.5),سايه افكندن(v;0.5),رد پا كسي را گرفتن(v;0.25),پنهان كردن(v;0.25),سايه انداختن(v;0.25)
shadowy|سايه دار(j;0.5),سايه افكن(j;0.5),سايه مانند(j;0.5),زود گذر(j;0.5)
shake|لرزش(n;0.75),تكان(n;0.75),تزلزل(n;0.5),ارتعاش(n;0.25),لرز(n;0.25),تكان دادن(v;0.5),لرزيدن(v;0.5),لرزش داشتن(v;0.25),تكان خوردن(v;0.5),بهم زدن(v;0.25),جنباندن(v;0.25),اشفتن(v;0.25),متزلزل كردن(v;0.25)
shakespeare|شكسپير(n;0.75)
shall|بايد(v;0.75),بايستن(v;0.5),بايست(v;0.5)
shallow|كم عمق(j;0.75),سطحي(j;0.75),كم ژرفا(n;0.5),كم اب(n;0.25),كم عمق كردن(v;0.25)
shannon|شانون(n;0.75)
shape|شكل(n;0.75),صورت(n;0.5),طرز(n;0.25),سبك(n;0.25),ريخت(n;0.25),قواره(n;0.25),اندام(n;0.25),تجسم(n;0.25),شكل دادن(v;0.75),شكل دادن به(v;0.5),سرشتن(v;0.25)
share|سهم(n;0.75),سهميه(n;0.25),بخش(n;0.5),حصه(n;0.25),بهره(n;0.25),قسمت(n;0.25),قطعه(n;0.25),خيش(n;0.25),تسهيم كردن(v;0.25),سهم بردن(v;0.25),بخش كردن(v;0.25),قيچي كردن(v;0.25)
sharelink|لينك را به اشتراك گذاشتن(n;0.75)
sharp|تيز(j;0.75),تند(j;0.5),نوك تيز(j;0.5),حاد(j;0.5),باكله(j;0.25),نوك دار(j;0.25),هشيار(j;0.25),زدن(j;0.25),زيرك(j;0.25),بران(j;0.25),تيز كردن(v;0.25),ديز(n;0.25),سياه بند(n;0.25)
sharpen|تيز كردن(v;0.75),تند كردن(v;0.5),تيز شدن(v;0.5),نوك تيز كردن(v;0.5),تقلب كردن(v;0.5)
sharply|به شدت(n;0.75)
she|او(n;0.75),ان دخ يا زن(n;0.25),خودش(n;0.25),جانور ماده(n;0.25)
sheet|ورق(n;0.75),ورقه(n;0.5),صفحه(n;0.5),لت(n;0.25),ملافه(n;0.25),تخته(n;0.25),پهنه(n;0.25),فلز ورق(n;0.25),ورق شدن(v;0.25),ملافه كردن(v;0.25),ورقه كردن(v;0.25)
sheffield|شفيلد(n;0.75)
shelf|تاقچه(n;0.5),فلات قاره(n;0.5),طاقچه(n;0.5),رف(n;0.5),هر چيز تاقچه مانند(n;0.25),در تاقچه گذاشتن(v;0.25),كنار گذاشتن(v;0.25)
shift|تغيير(n;0.75),انتقال(n;0.75),تغيير مكان(n;0.75),نوبت(n;0.5),تناوب(n;0.25),تغيير جهت(n;0.5),تعويض(n;0.5),عوض(n;0.5),نوبت كار(n;0.25),مبدله(n;0.25),استعداد(n;0.25),ابتكار(n;0.25),تعبيه(n;0.25),نقشه خائنانه(n;0.25),حقه(n;0.25),توطئه(n;0.25),تغيير دادن(v;0.5),پخش كردن(v;0.25),تعويض كردن(v;0.25),تغيير مكان دادن(v;0.25),انتقال دادن(v;0.25),تغيير مسير دادن(v;0.25)
shine|درخشش(n;0.75),تابش(n;0.5),براقي(n;0.5),روشني(n;0.5),فروغ(n;0.5),پرتو(n;0.5),پرتلالو(n;0.5),سو(n;0.5),برق(n;0.25),درخشيدن(v;0.5),تابيدن(v;0.5),روشن شدن(v;0.5),براق كردن(v;0.5),منور كردن(v;0.5),نورافشاندن(v;0.5)
shining|درخ(j;0.75),تابناك(j;0.5),تابان(j;0.75),براق(j;0.5),تابش دار(j;0.25),بارقه دار(j;0.25),خوشحال(j;0.25),اشراق(n;0.25)
ship|كشتن(n;0.75),سفينه(n;0.5),كشيدن هوا(n;0.25),هواپيما(n;0.25),ناو(n;0.5),جهاز(n;0.25),مركوب(n;0.25),با كشيدن حمل كردن(v;0.25),سوار كشيدن شدن(v;0.25),فرستا دن(v;0.25)
shirt|پيراهن(n;0.75),پيراهن پوشيدن(v;0.25)
shock|تك(n;0.5),صدمه(n;0.25),هول(n;0.25),هراس ناگهاني(n;0.25),لطمه(n;0.25),تصادم(n;0.25),تلاطم(n;0.25),تشنج سخت(n;0.25),توده(n;0.25),خرمن(n;0.25),ضرب(n;0.25),ضغطه(n;0.25),تكان دادن(v;0.25),ترساندن(v;0.25),توده كردن(v;0.25),تكان سخت خوردن(v;0.25),هول و هراس پيدا كردن(v;0.25),دچار هراس سخت شدن(v;0.25)
shook|دستن(n;0.75)
shoot|ساقه(n;0.75)
shooting|تيراندازي(n;0.75)
shop|فروشگاه(n;0.75),مغازه(n;0.75),كارگاه(n;0.5),دكه(n;0.25),دكان(n;0.5),خريدن(v;0.25),مغازه گردي كردن(v;0.25),خريد كردن(v;0.25),خريداري كردن(v;0.25)
shopper|خريدار(n;0.75),كاسب خرده فروش(n;0.75),مغازه رو(n;0.5)
shopping|خريد(n;0.75)
short|كوتاه(j;0.75),مختصر(j;0.5),موجز(j;0.25),كم(j;0.5),كوچك(j;0.5),قاصر(j;0.25),كسردار(j;0.25),غير كافي(j;0.25),بي مقدمه(j;0.25),خلاصه(n;0.5),اتصالي پيدا كردن(v;0.25)
shortage|كمبود(n;0.75),كسري(n;0.5),عدم(n;0.5)
shorter|كوتاه(n;0.75)
shortly|به زودي(n;0.75)
shot|گلوله(n;0.75),تزريق(n;0.5),تير(n;0.5),عكس(n;0.5),پرتابه(n;0.25),جرعه(n;0.25),يك گيلاس مشروب(n;0.25),ضربت توپ بازي(n;0.25),منظره فيلمبرداري شدن(n;0.25),گيلاس(n;0.25),رها شدن(j;0.25),اصابت كردن(j;0.25),جوانه زدن(j;0.25)
should|بايد(v;0.75),بايست(v;0.5)
shoulder|شانه(n;0.75),دوش(n;0.75),كتف(n;0.5),هر چيزي شبيه شانه(n;0.25),جناح(n;0.25),سفت(n;0.25),با شانه زور دادن(v;0.25),هل دادن(v;0.25)
shouldn|بايستن(n;0.75)
shout|فرياد(n;0.75),فغان(n;0.5),جيغ(n;0.5),دادن(n;0.25),فرياد زدن(v;0.5),دادن زدن(v;0.5),جيغ زدن(v;0.5),فرياد كردن(v;0.5),مصوت كردن(v;0.5),خروش براوردن(v;0.5),خروشيدن(v;0.5)
show|نما(n;0.75),مظهر(n;0.25),نشان(n;0.75),نشان دادن(n;0.75),ارائه(n;0.25),جلوه(n;0.25),اثبه(n;0.25),نشان دادن(v;0.75),ماياندن(v;0.25),نمودن(v;0.25),ابراز كردن(v;0.25),فهماندن(v;0.25)
showing|نما(n;0.75),اظهار(n;0.25),جلوه(n;0.25),ارائه(n;0.25),شاخص(n;0.25),اشكار سازي(n;0.25)
shown|ن دادن شدن(j;0.75)
shrine|زيارتگاه(n;0.75),معبد(n;0.5),جا مقدس(n;0.25),در معبد قرار دادن(v;0.25)
shrink|كوچك شدن(v;0.75),خرد شدن(v;0.5),منقبض شدن(v;0.5),منقبض كردن(v;0.25),فشردن(v;0.25),چروك كردن(v;0.25),چروك شدن(v;0.25),اب رفتن(v;0.25),جمع شدن(v;0.25),شانه خالي كردن از(v;0.25),خزيدن(v;0.25),پزشك ديوانه(n;0.25)
shun|اجتناب كردن از(v;0.75),گريختن(v;0.75),پرهيز كردن از(v;0.75)
shy|خجالتي(j;0.75),كمرو(j;0.5),محجوب(j;0.5),خجول(j;0.5),ترسو(j;0.5),خجل(j;0.25),رموك(j;0.25),از جا پريدن(v;0.5),پرت كردن(v;0.5),رم كردن(v;0.25),ازما(n;0.25),پرتاب(n;0.25)
sib|خويشي(n;0.5),منسوب سبدن(n;0.5),برادر يا خواهر(n;0.5),خويش و قوم(n;0.5)
sic|چنين(d;0.5)
sideboard|ميز دم دستن(n;0.75),ميز پاديواري(n;0.75),ميز كناري(n;0.75)
sidon|صيدا(n;0.75)
sight|بينا(n;0.75),ديدن(n;0.75),ديدگاه(n;0.5),چشم(n;0.75),نظر(n;0.75),بينش(n;0.25),منظره(n;0.5),منظر(n;0.25),باصره(n;0.25),تماشا(n;0.25),الت نشانه رو(n;0.25),جلوه(n;0.25),قيافه(n;0.25),قدرت ديدن(n;0.25),هدف(n;0.25),ديدن(v;0.5),رويت كردن(v;0.25),ديدن زدن(v;0.25),بازرسي كردن(v;0.25)
sign|نشانه(n;0.75),علامت(n;0.75),امضا(n;0.75),نشان(n;0.5),تابلو(n;0.5),رمز(n;0.25),اثر(n;0.25),صورت(n;0.25),ايت(n;0.25),اعلان(n;0.25),نشان گذاشتن(n;0.25),ژست(n;0.25),علم(n;0.25),امضا كردن(v;0.25),اشاره كردن(v;0.25),پاراف كردن(v;0.25)
signal|سيگنال(n;0.75),علامت(n;0.5),نشان(n;0.5),راهنما(n;0.25),اخطار(n;0.25),علامت دادن(v;0.5),با علامت ابلاغ كردن(v;0.25),با اشاره رساندن(v;0.25),اشكار(j;0.25)
signature|امضا(n;0.75),امضا(n;0.75),دستينه(n;0.25),اثر(n;0.25),صحه(n;0.25),توشيح(n;0.25),امضا كردن(n;0.25),پاراف(n;0.25)
significance|اهميت(n;0.75),مفاد(n;0.25),مفهوم(n;0.5),معني(n;0.5),قدر(n;0.25)
significant|مهم(j;0.75),قابل توجه(j;0.75),عمده(j;0.5),معني دار(j;0.5),حاكي از(j;0.25),ژرف(j;0.25),علامت(n;0.25)
signifier|دال(n;0.75)
signify|باشاره فهماندن(v;0.5),معني كردن(v;0.5),دلالت كردن بر(v;0.5),معني بخشيدن(v;0.5),حاكي بودن از(v;0.5)
silent|خاموش(j;0.75),صامت(j;0.5),بي صدا(j;0.5),بي حرف(j;0.25),ساكت(j;0.75),خمش(j;0.25),خموش(j;0.25),ارام(j;0.25)
silk|ابريشم(n;0.75),نخ ابريشم(n;0.25),لباس ابريشمي(n;0.25),حرير(n;0.5),پارچه ابريشمي(n;0.5),پارچه ابريشم طبيعي(n;0.25),نخ ابريشم مخصوص طراحي(n;0.25)
silver|نقره(n;0.75),پول نقره(n;0.25),سيم(n;0.25),نقره پوش كردن(v;0.25),نقره فام شدن(v;0.25)
similar|مشابه(j;0.75),شبيه(j;0.75),همانند(j;0.5),مانند(j;0.5),يكسان(j;0.5),متشابه(j;0.25),يك دست(j;0.25),قرين(j;0.25),همسان(j;0.25),مطابق(j;0.25)
similarly|به طور مشابه(n;0.75)
simple|سادن(j;0.75),سهل(j;0.25),بي تزوير(j;0.25),فروتن(j;0.25),بسيط(j;0.25),بي تكلف(j;0.25),خام(j;0.25),ناازمودن(j;0.25),نادان(j;0.25)
simplified|سادهشتن(j;0.75)
simplify|سادن كردن(v;0.75),سبك كردن(v;0.25),اسان تر كردن(v;0.25),مختصر كردن(v;0.25),تسهيل كردن(v;0.25)
simply|بساده(d;0.5),واقعا(d;0.25),حقيقتا(d;0.25)
simultaneously|با هم(d;0.5),ضمنا(d;0.25),بصورت همزب(d;0.25)
since|چون(n;0.5),چون كه(n;0.25),نظر باينكه(n;0.25),چون(n;0.5),پس از(d;0.5),از وقتي كه(d;0.25),از انجاييكه(d;0.25),از اين رو(d;0.25)
sincere|صادق(j;0.75),صميمي(j;0.75),مخلص(j;0.5),بي ريا(j;0.5),خالص(j;0.5),قلبي(j;0.5),راست نما(j;0.25)
single|مجرد(j;0.75),تنها(j;0.75),تك(j;0.75),واحد(j;0.75),منفرد(j;0.75),انفرادي(j;0.25),فرد(j;0.25),يك فردن(j;0.25),تك و توك(j;0.25),فردي(j;0.25),يك لا(j;0.25),يك رشته(j;0.25),عزب(j;0.25),برگزيدن(v;0.25),انتخاب كردن(v;0.25)
sinister|شيطاني(j;0.75),گمراه كردن(j;0.5),منحوس(j;0.5),بدشگون(j;0.5),بديمن(j;0.5),ناميمون(j;0.5),بدخواه(j;0.5),فاسد(j;0.5),كج(j;0.5),نا درست(j;0.5)
sir|اقا(n;0.75),شخص محترم(n;0.25),لرد(n;0.25),شخص والامقام(n;0.25)
sister|خواهر(n;0.75),دخ(n;0.5),همشيره(n;0.25),پرستار(n;0.25),دخ تارك دنيا(n;0.25),خواهري كردن(v;0.25)
sit|نشستن(v;0.75),جلوس كردن(v;0.25),قرار گرفتن(v;0.25)
site|محل(n;0.5),موقعيت(n;0.25),مكان(n;0.5),جا(n;0.25),مقر(n;0.25),زمين زير ساختم(n;0.25)
siting|مك(n;0.75)
situation|وضعيت(n;0.75),حالت(n;0.5),حال(n;0.25),وضع(n;0.75),موقعيت(n;0.75),جا(n;0.25),شغل(n;0.25),موقع(n;0.25)
six|شش(n;0.75)
size|اندازه(n;0.75),مقدار(n;0.25),سايز(n;0.75),ميزان(n;0.25),قد(n;0.25),قالب(n;0.25),چسبزني(n;0.25),اهار زدن(v;0.25),بر اورد كردن(v;0.25)
sketch|طرح(n;0.75),طرح اوليه(n;0.5),خلاصه(n;0.5),مسودن(n;0.5),شرح(n;0.5),انگاره(n;0.5),طراحي كليات(n;0.5),ملخص(n;0.5),طرح خلاصه(n;0.5),نقشه ساده(n;0.5),پيش نويس ازمايشي(n;0.5),زمينه(n;0.25),طرح ريزي كردن(v;0.5),طراحي كردن(v;0.5),طرح كردن(v;0.5),مسودن كردن(v;0.5),پيش نويس چيزي را امادن كردن(v;0.25)
